lan,lac,year,s,ss,emissions
Barnsley,E08000016,2012,LULUCF,LULUCF Net Emissions: Cropland,7.456852107
Barnsley,E08000016,2012,LULUCF,LULUCF Net Emissions: Grassland,-8.543363231
Barnsley,E08000016,2012,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2012,LULUCF,LULUCF Net Emissions: Settlements,5.489068966
Barnsley,E08000016,2012,Public Sector,Public Sector Electricity,21.32700746
Barnsley,E08000016,2012,Public Sector,Public Sector Gas,24.19826239
Barnsley,E08000016,2012,Public Sector,Public Sector 'Other Fuels',0.203139445
Barnsley,E08000016,2012,Transport,Road Transport (A roads),150.7849615
Barnsley,E08000016,2012,Transport,Road Transport (Motorways),147.0808773
Barnsley,E08000016,2012,Transport,Road Transport (Minor roads),146.9752462
Barnsley,E08000016,2012,Transport,Diesel Railways,5.125928443
Barnsley,E08000016,2012,Transport,Transport Other,2.421659298
Barnsley,E08000016,2013,Commercial,Commercial Electricity,96.19219612
Barnsley,E08000016,2013,Commercial,Commercial Gas,37.7059815
Barnsley,E08000016,2013,Commercial,Commercial 'Other Fuels',0.435902829
Barnsley,E08000016,2013,Domestic,Domestic Electricity,174.7918336
Barnsley,E08000016,2013,Domestic,Domestic Gas,282.3568834
Barnsley,E08000016,2013,Domestic,Domestic 'Other Fuels',95.08663905
Barnsley,E08000016,2013,Industry,Industry Electricity,158.1287865
Barnsley,E08000016,2013,Industry,Industry Gas,173.9708698
Barnsley,E08000016,2013,Industry,Large Industrial Installations,45.0398915
Barnsley,E08000016,2013,Industry,Industry 'Other Fuels',98.48936912
Barnsley,E08000016,2013,Industry,Agriculture,5.986151781
Barnsley,E08000016,2013,LULUCF,LULUCF Net Emissions: Forest land,-16.8105544
Barnsley,E08000016,2013,LULUCF,LULUCF Net Emissions: Cropland,7.273526299
Barnsley,E08000016,2013,LULUCF,LULUCF Net Emissions: Grassland,-8.88844195
Barnsley,E08000016,2013,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2013,LULUCF,LULUCF Net Emissions: Settlements,5.342784494
Barnsley,E08000016,2013,Public Sector,Public Sector Electricity,20.55312805
Barnsley,E08000016,2013,Public Sector,Public Sector Gas,25.10422172
Barnsley,E08000016,2013,Public Sector,Public Sector 'Other Fuels',0.1353612
Barnsley,E08000016,2013,Transport,Road Transport (A roads),147.6035489
Barnsley,E08000016,2013,Transport,Road Transport (Motorways),145.0886012
Barnsley,E08000016,2013,Transport,Road Transport (Minor roads),150.55671
Barnsley,E08000016,2013,Transport,Diesel Railways,5.179863856
Barnsley,E08000016,2013,Transport,Transport Other,2.469195028
Barnsley,E08000016,2014,Commercial,Commercial Electricity,78.32114795
Barnsley,E08000016,2014,Commercial,Commercial Gas,28.03325797
Barnsley,E08000016,2014,Commercial,Commercial 'Other Fuels',0.482711967
Barnsley,E08000016,2014,Domestic,Domestic Electricity,149.2356716
Barnsley,E08000016,2014,Domestic,Domestic Gas,239.0422642
Barnsley,E08000016,2014,Domestic,Domestic 'Other Fuels',84.76721962
Barnsley,E08000016,2014,Industry,Industry Electricity,134.3913261
Barnsley,E08000016,2014,Industry,Industry Gas,151.70413
Barnsley,E08000016,2014,Industry,Large Industrial Installations,52.00426081
Barnsley,E08000016,2014,Industry,Industry 'Other Fuels',105.9386264
Barnsley,E08000016,2014,Industry,Agriculture,6.369329819
Barnsley,E08000016,2014,LULUCF,LULUCF Net Emissions: Forest land,-16.88105128
Barnsley,E08000016,2014,LULUCF,LULUCF Net Emissions: Cropland,7.001736779
Barnsley,E08000016,2014,LULUCF,LULUCF Net Emissions: Grassland,-8.682369867
Barnsley,E08000016,2014,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2014,LULUCF,LULUCF Net Emissions: Settlements,5.28464913
Barnsley,E08000016,2014,Public Sector,Public Sector Electricity,16.99274304
Barnsley,E08000016,2014,Public Sector,Public Sector Gas,19.1085783
Barnsley,E08000016,2014,Public Sector,Public Sector 'Other Fuels',0.16594388
Barnsley,E08000016,2014,Transport,Road Transport (A roads),146.4267152
Barnsley,E08000016,2014,Transport,Road Transport (Motorways),140.5801273
Barnsley,E08000016,2014,Transport,Road Transport (Minor roads),158.9700201
Barnsley,E08000016,2014,Transport,Diesel Railways,5.286537534
Barnsley,E08000016,2014,Transport,Transport Other,2.450845397
Barnsley,E08000016,2015,Commercial,Commercial Electricity,66.32369057
Barnsley,E08000016,2015,Commercial,Commercial Gas,24.48481008
Barnsley,E08000016,2015,Commercial,Commercial 'Other Fuels',0.689192567
Barnsley,E08000016,2015,Domestic,Domestic Electricity,126.5217985
Barnsley,E08000016,2015,Domestic,Domestic Gas,251.2461469
Barnsley,E08000016,2015,Domestic,Domestic 'Other Fuels',83.06852649
Barnsley,E08000016,2015,Industry,Industry Electricity,117.0517981
Barnsley,E08000016,2015,Industry,Industry Gas,159.9384042
Barnsley,E08000016,2015,Industry,Large Industrial Installations,49.61187993
Barnsley,E08000016,2015,Industry,Industry 'Other Fuels',96.4425502
Barnsley,E08000016,2015,Industry,Agriculture,6.403152283
Barnsley,E08000016,2015,LULUCF,LULUCF Net Emissions: Forest land,-17.12148127
Barnsley,E08000016,2015,LULUCF,LULUCF Net Emissions: Cropland,6.927382632
Barnsley,E08000016,2015,LULUCF,LULUCF Net Emissions: Grassland,-9.162499472
Barnsley,E08000016,2015,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2015,LULUCF,LULUCF Net Emissions: Settlements,5.354527394
Barnsley,E08000016,2015,Public Sector,Public Sector Electricity,16.69108676
Barnsley,E08000016,2015,Public Sector,Public Sector Gas,24.17893125
Barnsley,E08000016,2015,Public Sector,Public Sector 'Other Fuels',0.104739913
Barnsley,E08000016,2015,Transport,Road Transport (A roads),149.8387661
Barnsley,E08000016,2015,Transport,Road Transport (Motorways),149.8770683
Barnsley,E08000016,2015,Transport,Road Transport (Minor roads),160.4740687
Barnsley,E08000016,2015,Transport,Diesel Railways,5.163728691
Barnsley,E08000016,2015,Transport,Transport Other,2.446343994
Barnsley,E08000016,2016,Commercial,Commercial Electricity,54.03530686
Barnsley,E08000016,2016,Commercial,Commercial Gas,25.38341549
Barnsley,E08000016,2016,Commercial,Commercial 'Other Fuels',0.595402152
Barnsley,E08000016,2016,Domestic,Domestic Electricity,103.2383194
Barnsley,E08000016,2016,Domestic,Domestic Gas,257.5231803
Barnsley,E08000016,2016,Domestic,Domestic 'Other Fuels',80.49197156
Barnsley,E08000016,2016,Industry,Industry Electricity,94.30868015
Barnsley,E08000016,2016,Industry,Industry Gas,166.1621997
Barnsley,E08000016,2016,Industry,Large Industrial Installations,48.214859680000004
Barnsley,E08000016,2016,Industry,Industry 'Other Fuels',91.78992371
Barnsley,E08000016,2016,Industry,Agriculture,6.59705692
Barnsley,E08000016,2016,LULUCF,LULUCF Net Emissions: Forest land,-17.25284181
Barnsley,E08000016,2016,LULUCF,LULUCF Net Emissions: Cropland,6.904298298
Barnsley,E08000016,2016,LULUCF,LULUCF Net Emissions: Grassland,-9.036826228
Barnsley,E08000016,2016,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2016,LULUCF,LULUCF Net Emissions: Settlements,5.549358808
Barnsley,E08000016,2016,Public Sector,Public Sector Electricity,13.33309349
Barnsley,E08000016,2016,Public Sector,Public Sector Gas,24.02809995
Barnsley,E08000016,2016,Public Sector,Public Sector 'Other Fuels',0.10286846
Barnsley,E08000016,2016,Transport,Road Transport (A roads),152.62879
Barnsley,E08000016,2016,Transport,Road Transport (Motorways),146.0815524
Barnsley,E08000016,2016,Transport,Road Transport (Minor roads),168.1069607
Barnsley,E08000016,2016,Transport,Diesel Railways,5.091117727
Barnsley,E08000016,2016,Transport,Transport Other,2.33663251
Barnsley,E08000016,2017,Commercial,Commercial Electricity,48.04536526
Barnsley,E08000016,2017,Commercial,Commercial Gas,29.8834458
Barnsley,E08000016,2017,Commercial,Commercial 'Other Fuels',0.251755866
Barnsley,E08000016,2017,Domestic,Domestic Electricity,89.87178754
Barnsley,E08000016,2017,Domestic,Domestic Gas,251.3717298
Barnsley,E08000016,2017,Domestic,Domestic 'Other Fuels',82.38068783
Barnsley,E08000016,2017,Industry,Industry Electricity,87.68582416
